Description,Guesses,Precision,Recall,F1,Macro F1
POS Score,1,0.09929,0.05254,0.06449,0.06872
POS Score,2,0.12943,0.12483,0.11709,0.12709
POS Score,3,0.13121,0.17681,0.13931,0.15063
POS Score,4,0.13475,0.23887,0.1603,0.1723
POS Score,5,0.13901,0.3188,0.1802,0.1936
POS Score,6,0.1448,0.40066,0.19851,0.21272
POS Score,10,0.14178,0.67424,0.22077,0.23429

Random,1,0.12411,0.05287,0.068,0.07415
Random,3,0.13298,0.17064,0.13773,0.14947
Random,5,0.14527,0.27307,0.17301,0.18965
Random,10,0.12318,0.44683,0.18087,0.19312